
# AI / Brain Icons
Prompt: A futuristic 3D icon of Neural Core, featuring a glowing central processing unit with synaptic connections, cyan and magenta neon colors, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of AI Brain, featuring glowing cybernetic details and neon lines, cyan and magenta energy, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Neural Matrix, featuring a complex grid of glowing nodes, cyan and magenta colors, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Neural Grid, featuring an interconnected lattice of light, cyan and magenta neon, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Synaptic Network, featuring web-like glowing connections, cyan and magenta energy, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Cognitive Field, featuring a spherical data cloud, glowing cyan and magenta particles, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Intelligence Core, featuring a concentrated glowing orb of data, cyan and magenta energy, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Mind Mesh, featuring an interwoven net of digital fibers, cyan and magenta glow, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Digital Cortex, featuring a structured digital brain interface, cyan and magenta circuits, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Synthetic Brain, featuring a metallic and glass artificial brain structure, glowing cyan and magenta internals, isolated on a black background, high resolution, cyberpunk style.

# Network / Connections Icons
Prompt: A futuristic 3D icon of Neural Links, featuring two or more nodes connecting with energy beams, cyan and magenta glow, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Synapse Flow, featuring streaming data along a neural pathway, cyan and magenta energy, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Data Nodes, featuring clusters of glowing data points connected by lines, cyan and magenta colors, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Connection Graph, featuring nodes and edges mapping a network, cyan and magenta glow, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Signal Paths, featuring traces of light moving through a circuit, cyan and magenta energy, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Network Topology, featuring a 3D structural map of interlinked systems, cyan and magenta neon, isolated on a black background, high resolution, cyberpunk style.
Prompt: A futuristic 3D icon of Information Flow, featuring a dynamic stream of binary code or data packets, cyan and magenta motion blur, isolated on a black background, high resolution, cyberpunk style.
